Folder,ours_DINOv2,ours_CLIP,ours_DINOv3,CCPL_DINOv2,CCPL_CLIP,CCPL_DINOv3,MCCNet_DINOv2,MCCNet_CLIP,MCCNet_DINOv3,CSBNet_DINOv2,CSBNet_CLIP,CSBNet_DINOv3
oxen_stylized_kid_football,0.8066,0.9194,0.8203,0.8266,0.8765,0.8486,0.7995,0.8940,0.8364,0.8105,0.8916,0.8168
oxen_stylized_rally,0.7818,0.9375,0.6755,0.7739,0.8975,0.6774,0.8148,0.9355,0.7016,0.8012,0.9248,0.6520
oxen_stylized_street,0.9547,0.9775,0.9508,0.9692,0.9849,0.9448,0.9537,0.9829,0.9520,0.9694,0.9834,0.9484
oxen_stylized_violin1,0.9661,0.9614,0.9593,0.9706,0.9644,0.9533,0.9566,0.9624,0.9335,0.9777,0.9497,0.9582
oxen_stylized_walk,0.8874,0.9307,0.8818,0.8590,0.9287,0.8261,0.8983,0.9380,0.8610,0.8504,0.8965,0.7718
rain_princess_stylized_city_ferry,0.9549,0.9780,0.9562,0.8875,0.9702,0.9457,0.8752,0.9805,0.9160,0.8762,0.9741,0.9379
rain_princess_stylized_city_night,0.9753,0.9839,0.9780,0.9694,0.9771,0.9797,0.9692,0.9829,0.9774,0.9688,0.9805,0.9746
rain_princess_stylized_color_run,0.8735,0.9355,0.9011,0.8569,0.9238,0.8644,0.8363,0.9517,0.8284,0.8367,0.9219,0.8099
rain_princess_stylized_fruit_water,0.8214,0.9448,0.7883,0.7625,0.9355,0.8156,0.7746,0.9458,0.7795,0.7803,0.9395,0.7829
rain_princess_stylized_india,0.9388,0.9756,0.9225,0.9219,0.9570,0.9354,0.9203,0.9624,0.9369,0.9379,0.9458,0.9240
rain_princess_stylized_kid_football,0.8012,0.9180,0.8267,0.8204,0.8872,0.8175,0.7598,0.9180,0.7977,0.7850,0.8828,0.7918
rain_princess_stylized_rally,0.7989,0.9263,0.6367,0.7707,0.9082,0.6639,0.7605,0.9429,0.6856,0.7778,0.9321,0.6312
rain_princess_stylized_street,0.9726,0.9873,0.9634,0.9695,0.9766,0.9594,0.9170,0.9746,0.9301,0.9566,0.9814,0.9492
rain_princess_stylized_violin1,0.9652,0.9746,0.9644,0.9651,0.9600,0.9567,0.8774,0.9546,0.8986,0.9667,0.9688,0.9519
rain_princess_stylized_walk,0.8737,0.9297,0.8662,0.8609,0.9219,0.8112,0.8521,0.9434,0.7853,0.8675,0.9282,0.7427
sarah_stylized_city_ferry,0.9302,0.9595,0.9305,0.8659,0.9658,0.9311,0.8192,0.9619,0.9210,0.8866,0.9746,0.9223
sarah_stylized_city_night,0.9733,0.9678,0.9771,0.9592,0.9810,0.9778,0.9384,0.9668,0.9722,0.9550,0.9707,0.9724
sarah_stylized_color_run,0.8647,0.9434,0.8467,0.8433,0.9312,0.8340,0.8464,0.9116,0.8323,0.8397,0.9443,0.8303
